Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Элина,@ellakatsnelbogen,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Продается компьютерный стул, но же кресло для работы.  Икеа (JÄRVFJÄLLET)

В отличном, если не идеал..."
Blink Cleaning,@managerBlinkCleaning,0.6,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"✨ АКЦИЯ! Подарки за чистоту! ✨

💜 Blink клининг радует самых любимых клиентов и дарит реальные эмоци..."
Andrey,@gurmanno,0.6,Не заполнено,Heuristic Match: аренда,Активен в 1 каналах,1,"@gurmanno Привет 👋 С недвижимостью в Сербии 🇷🇸 вам помогут 👇

🔑 @natalia_real_estate Наталья (Белгра..."
Maria,@maia_ya,0.6,Не заполнено,Heuristic Match: цена помощь телефон,Активен в 1 каналах,1,"Крепление для телефона на велосипед, коляску / держатель для телефона

Универсальный держатель для т..."
Vedemon,@vedemon,0.6,Не заполнено,Heuristic Match: номер,Активен в 1 каналах,1,"Купи Единорога на русских номерах. Всего 2к евро, не пожалеешь! @vedemon..."
Влад,@fixervlad,0.6,Не заполнено,Heuristic Match: ищу контакты (Business),Активен в 1 каналах,1,"#resume #резюме  #cv  #удаленка #ищу #фронтенд  #javascript #react  #typescript

Всем привет! 👋  
Ме..."
iraserbij,@iraserbij,0.6,Не заполнено,Heuristic Match: сдам телефон,Активен в 1 каналах,1,"Сдам авто в аренду📍Белград
🚙 Citroen C3
Акпп, Дизель.

✅️от 3х суток/на месяц
✅️Депозит
✅️Страховка
..."
cistocans,@cistocans,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Напишите прост в чисточку
 office@cistocans.co.rs
Там можно и свежую квитанцию попросить и спросить ..."
chedesignschoolbelgrade,@chedesignschoolbelgrade,0.6,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Всем привет! Приглашаем детей и подростков в городской лагерь.

**APRIL DESIGN CAMP IN BELGRADE** дл..."
Сербский язык - контакт,@serbskijyazyk,0.6,Не заполнено,Heuristic Match: курс whatsapp,Активен в 1 каналах,1,"Здраво свима!

📢 У меня занятия по сербскому языку для детей, подростков и взрослых. С нуля и с друг..."
Sunflower150188,@Sunflower150188,0.6,Не заполнено,Heuristic Match: реклам[аыу] аренда,Активен в 1 каналах,1,"**✨ ВАКАНСИИ В RASKOLNIKOV BEAUTY | БЕЛГРАД

Салон Raskolnikov Beauty приглашает к сотрудничеству сп..."
surfside3d,@surfside3d,0.6,Не заполнено,Heuristic Match: помощь (Business),Активен в 1 каналах,1,"Виктор, добрый день!

Хотела бы разместить вакансию у вас на канале:

СИСТЕМНЫЙ АДМИНИСТРАТОР в студ..."
kuruneko_ns,@kuruneko_ns,0.6,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"Нови Сад 📍
Курунеко 😸
У нас открыты вакансии:
•Повар, график 2/2, зарплата от 450 динар/час 
•Помощн..."
zorovic,@zorovic,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"__Вам нужна вместительная сумка?__ 

__
Здравствуйте! 

— Вы в поиске сумки для поездки на поезде Бе..."
triDCraft,@triDCraft,0.6,Не заполнено,Heuristic Match: пишите директ заказ,Активен в 1 каналах,1,"🚀 3D-печать FDM/SLA + Моделирование

Теперь мы печатаем не только FDM, но и SLA с точностью 0,05 мм ..."
barbershop,@barbershop,0.6,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"**Дорогие друзья!**

**Barbershop Central** открывает свои двери.💈

Мы находимся по адресу:
📍 Luke Ć..."
LEM.BEAUTYBAR,@Lemstudiobg,0.6,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"ИЩЕМ АДМИНИСТРАТОРА в студию красоты Lem Beautybar в Новом Белграде  

Пожелания к кандидату:
🔸️ Опы..."
niutaaa88,@niutaaa88,0.6,Не заполнено,Heuristic Match: стоимость обучение whatsapp,Активен в 1 каналах,1,"❤️**Создай свой собственный шедевр! **❤️
Уроки рисования для детей и взрослых 🎨✨в Мириево
Рисуем то,..."
vsjakoje_raznoje,@vsjakoje_raznoje,0.6,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"Продаю пакетами (дешевле) или поштучно
1. 56-62 размер набор 30в1 ([продаю только комплектом](https:..."
Diana Lukoni,@lukoni,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**1. Драцена большая с кашпо** – 3 000 RSD 
(недавно пересаживали)

2. **Мандариновое дерево вместе ..."
aklimenk,@aklimenk,0.6,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"Продам телевизор
Цена 300 евро
Самовывоз Стари Град (улица Knez-Miletina)
Модель 2024 года LG **50UT..."
